,team1,team2,date,time,city,stadium,referee,attendance,possesion_team1,possesion_team2,goal_total_team1,goal_total_team2,goal_conceded_team1,goal_conceded_team2,goal_inside_penalty_area_team1,goal_inside_penalty_area_team2,goal_outside_penalty_area_team1,goal_outside_penalty_area_team2,goal_assists_team1,goal_assists_team2,attempts_total_team1,attempts_total_team2,attempts_on_target_team1,attempts_on_target_team2,attempts_off_target_team1,attempts_off_target_team2,attempts_inside_penalty_area_team1,attempts_inside_penalty_area_team2,attempts_outside_penalty_area_team1,attempts_outside_penalty_area_team2,final_third_entries_left_channel_team1,final_third_entries_left_channel_team2,final_third_entries_left_inside_channel_team1,final_third_entries_left_inside_channel_team2,final_third_entries_central_channel_team1,final_third_entries_central_channel_team2,final_third_entries_right_inside_channel_team1,final_third_entries_right_inside_channel_team2,final_third_entries_right_channel_team1,final_third_entries_right_channel_team2,offers_total_team1,offers_total_team2,offers_in_behind_team1,offers_in_behind_team2,offers_in_between_team1,offers_in_between_team2,offers_in_front_team1,offers_in_front_team2,receptions_between_midfield_and_defensive_lines_team1,receptions_between_midfield_and_defensive_lines_team2,receptions_behind_defensive_line_team1,receptions_behind_defensive_line_team2,line_breaks_attempted_team1,line_breaks_attempted_team2,line_breaks_completed_team1,line_breaks_completed_team2,line_breaks_attempted_defensive_team1,line_breaks_attempted_defensive_team2,line_breaks_completed_defensive_team1,line_breaks_completed_defensive_team2,yellow_cards_team1,yellow_card_team2,red_cards_team1,red_cards_team2,fouls_team1,fouls_team2,offsides_team1,offsides_team2,passes_team1,passes_team2,passes_completed_team1,passes_completed_team2,crosses_team1,crosses_team2,crosses_completed_team1,crosses_completed_team2,switches_of_play_completed_team1,switches_of_play_completed_team2,corners_team1,corners_team2,free_kicks_team1,free_kicks_team2,penalties_scored_team1,penalties_scored_team2,goal_preventions_team1,goal_preventions_team2,own_goals_team1,own_goals_team2,forced_turnovers_team1,forced_turnovers_team2,defensive_pressures_applied_team1,defensive_pressures_applied_team2
10,Spain,Costa Rica,23 November 2022, 18:00,Doha,Al Thumama Stadium,Mohammed ABDULLA,40013,74%,17%,7,0,0,7,7,0,0,0,4,0,17,0,7,0,8,0,12,0,5,0,30,5,4,0,8,1,6,0,12,1,1085,250,180,52,418,104,487,94,174,47,23,1,276,119,233,58,34,11,22,1,0,2,0,0,8,12,3,7,1061,231,1003,170,17,5,2,0,8,1,5,0,18,11,1,0,0,17,0,0,46,76,185,585
11,Belgium,Canada,23 November 2022, 21:00,Ar-Rayyan,Ahmad Bin Ali Stadium,Janny SIKAZWE,40432,46%,43%,1,0,0,1,1,0,0,0,1,0,9,21,3,4,6,12,6,16,3,5,6,17,3,6,5,8,2,5,6,20,618,582,115,140,268,279,235,163,93,117,8,15,175,176,118,123,13,23,6,13,3,2,0,0,11,14,0,1,512,448,439,382,8,19,5,6,4,6,4,4,15,10,0,0,21,9,0,0,74,47,284,320
12,Switzerland,Cameroon,24 November 2022, 12:00,Al Wakrah,Al Janoub Stadium,Facundo TELLO,39089,43%,46%,1,0,0,1,1,0,0,0,1,0,8,7,3,3,4,2,6,6,2,1,19,9,2,12,11,3,6,5,16,18,609,561,153,109,256,248,200,204,112,103,13,5,178,182,123,103,21,16,13,4,2,1,0,0,12,10,2,2,497,500,437,424,28,20,6,4,4,8,11,5,11,14,0,0,7,8,0,0,64,79,313,316
13,Uruguay,Korea Republic,24 November 2022, 15:00,Doha,Education City Stadium,Clément Turpin,41663,49%,38%,0,0,0,0,0,0,0,0,0,0,10,6,0,0,6,5,7,1,3,5,13,15,4,0,4,4,6,4,14,19,566,551,157,136,155,228,254,187,81,91,4,8,146,185,88,96,16,17,7,8,1,1,0,0,7,10,1,0,528,419,459,340,16,19,4,3,10,9,4,3,10,8,0,0,6,10,0,0,65,54,240,231
14,Portugal,Ghana,24 November 2022, 18:00,Doha,Stadium 974,Ismail Elfath,42662,55%,35%,3,2,2,3,3,2,0,0,2,2,11,8,5,3,3,5,7,2,4,6,24,7,6,9,7,6,4,3,10,3,762,459,168,87,308,187,286,185,125,69,20,5,198,150,149,88,26,12,18,4,2,4,0,0,14,19,1,1,636,394,573,326,17,12,4,3,13,2,3,3,19,15,1,0,8,11,0,0,70,82,286,326
15,Brazil,Serbia,24 November 2022, 21:00,Al Daayen,Lusail Stadium,Alireza FAGHANI,88103,53%,34%,2,0,0,2,2,0,0,0,1,0,24,4,10,0,9,3,11,1,13,3,14,10,9,3,10,4,7,3,20,7,727,414,144,67,275,185,308,162,125,69,11,4,184,140,134,91,16,15,10,6,0,3,0,0,7,12,1,0,585,403,526,341,19,13,3,3,6,6,6,4,12,8,0,0,4,24,0,0,72,71,236,338
16,Wales,Iran,25 November 2022, 12:00,Ar-Rayyan,Ahmad Bin Ali Stadium,Mario Alberto Escobar Toca,40875,51%,33%,0,2,2,0,0,1,0,1,0,1,10,21,3,6,4,6,5,7,5,14,18,7,3,3,8,7,11,4,13,7,722,343,135,109,286,149,301,85,101,103,13,9,208,185,129,92,17,24,8,10,1,2,1,0,9,10,2,2,508,295,413,202,20,26,5,4,13,5,2,7,12,11,0,0,21,9,0,0,89,84,161,276
17,Qatar,Senegal,25 November 2022, 15:00,Doha,Al Thumama Stadium,Antonio MATEU,41797,42%,48%,1,3,3,1,1,3,0,0,1,2,10,12,2,4,7,6,4,10,6,2,7,26,5,4,2,6,5,4,11,18,511,553,109,136,199,190,203,227,79,95,9,12,174,184,117,113,13,19,7,9,3,3,0,0,7,12,4,3,424,511,353,445,18,20,5,6,12,9,6,7,15,11,0,0,12,11,0,0,67,67,308,232
18,Netherlands,Ecuador,25 November 2022, 18:00,Ar-Rayyan,Khalifa International Stadium,Mustapha Ghorbal,44833,48%,39%,1,1,1,1,0,1,1,0,1,0,2,13,1,5,1,3,0,8,2,5,8,10,8,5,2,2,4,5,11,4,632,541,129,86,267,276,236,179,93,89,4,12,168,155,115,84,9,22,4,10,0,1,0,0,15,12,1,4,524,425,451,345,8,22,0,4,6,2,2,5,16,16,0,0,14,2,0,0,85,52,254,279
19,England,United States,25 November 2022, 21:00,Al Khor,Al Bayt Stadium,Jesús Valenzuela Sáez,68463,51%,40%,0,0,0,0,0,0,0,0,0,0,8,10,3,2,4,7,6,6,2,4,11,12,2,0,7,1,5,6,11,8,676,539,116,129,290,238,270,172,102,74,10,6,208,143,147,88,23,15,10,5,0,0,0,0,9,15,1,0,550,427,488,368,13,16,4,2,9,2,3,7,15,10,0,0,10,8,0,0,52,61,266,350
