,team1,team2,date,time,city,stadium,referee,attendance,possesion_team1,possesion_team2,goal_total_team1,goal_total_team2,goal_conceded_team1,goal_conceded_team2,goal_inside_penalty_area_team1,goal_inside_penalty_area_team2,goal_outside_penalty_area_team1,goal_outside_penalty_area_team2,goal_assists_team1,goal_assists_team2,attempts_total_team1,attempts_total_team2,attempts_on_target_team1,attempts_on_target_team2,attempts_off_target_team1,attempts_off_target_team2,attempts_inside_penalty_area_team1,attempts_inside_penalty_area_team2,attempts_outside_penalty_area_team1,attempts_outside_penalty_area_team2,final_third_entries_left_channel_team1,final_third_entries_left_channel_team2,final_third_entries_left_inside_channel_team1,final_third_entries_left_inside_channel_team2,final_third_entries_central_channel_team1,final_third_entries_central_channel_team2,final_third_entries_right_inside_channel_team1,final_third_entries_right_inside_channel_team2,final_third_entries_right_channel_team1,final_third_entries_right_channel_team2,offers_total_team1,offers_total_team2,offers_in_behind_team1,offers_in_behind_team2,offers_in_between_team1,offers_in_between_team2,offers_in_front_team1,offers_in_front_team2,receptions_between_midfield_and_defensive_lines_team1,receptions_between_midfield_and_defensive_lines_team2,receptions_behind_defensive_line_team1,receptions_behind_defensive_line_team2,line_breaks_attempted_team1,line_breaks_attempted_team2,line_breaks_completed_team1,line_breaks_completed_team2,line_breaks_attempted_defensive_team1,line_breaks_attempted_defensive_team2,line_breaks_completed_defensive_team1,line_breaks_completed_defensive_team2,yellow_cards_team1,yellow_card_team2,red_cards_team1,red_cards_team2,fouls_team1,fouls_team2,offsides_team1,offsides_team2,passes_team1,passes_team2,passes_completed_team1,passes_completed_team2,crosses_team1,crosses_team2,crosses_completed_team1,crosses_completed_team2,switches_of_play_completed_team1,switches_of_play_completed_team2,corners_team1,corners_team2,free_kicks_team1,free_kicks_team2,penalties_scored_team1,penalties_scored_team2,goal_preventions_team1,goal_preventions_team2,own_goals_team1,own_goals_team2,forced_turnovers_team1,forced_turnovers_team2,defensive_pressures_applied_team1,defensive_pressures_applied_team2
40,Croatia,Belgium,1 December 2022, 17:00,Ar-Rayyan,Ahmad Bin Ali Stadium,Anthony Taylor,43984,43%,47%,0,0,0,0,0,0,0,0,0,0,11,15,4,4,5,7,7,12,4,3,23,18,7,5,3,7,2,4,12,9,650,581,124,123,338,181,188,277,124,94,17,12,204,177,159,115,23,26,17,14,0,1,0,0,7,9,4,0,578,596,504,531,24,24,6,8,18,4,2,4,9,11,0,0,16,11,0,0,70,68,328,346
41,Canada,Morocco,1 December 2022, 17:00,Doha,Al Thumama Stadium,Raphael Claus,43102,52%,36%,1,2,2,1,0,1,0,1,0,1,5,7,0,2,4,2,4,4,1,3,22,6,4,0,2,3,6,4,11,5,703,493,189,78,211,227,303,188,86,58,8,8,153,147,91,85,21,16,8,7,4,0,0,0,14,14,4,4,539,384,472,308,20,7,4,1,3,14,6,2,18,18,0,0,7,7,0,1,66,72,224,324
42,Japan,Spain,1 December 2022, 21:00,Ar-Rayyan,Khalifa International Stadium,Victor GOMES,44851,14%,78%,2,1,1,2,1,1,1,0,2,1,6,14,3,5,2,3,4,7,2,7,2,30,3,9,1,6,2,11,5,22,315,1138,77,174,106,286,132,678,50,151,10,17,104,190,57,140,14,21,8,15,3,0,0,0,9,6,2,2,225,1070,167,992,6,20,3,2,2,9,0,2,8,11,0,0,14,6,0,0,85,49,637,150
43,Costa Rica,Germany,1 December 2022, 21:00,Al Khor,Al Bayt Stadium,Stéphanie Frappart,67054,27%,60%,2,4,4,2,2,4,0,0,0,4,8,32,6,11,1,17,6,24,2,8,7,29,5,13,3,13,1,12,1,15,344,747,100,217,156,272,88,258,118,167,10,28,154,193,103,159,13,34,7,25,1,0,0,0,3,9,4,3,347,727,269,661,12,38,3,12,4,5,1,14,12,7,0,0,32,8,0,0,79,77,378,230
44,Ghana,Uruguay,2 December 2022, 17:00,Al Wakrah,Al Janoub Stadium,Daniel SIEBERT,43443,46%,39%,0,2,2,0,0,2,0,0,0,1,9,12,4,7,4,5,4,7,5,5,12,7,5,2,8,13,4,3,12,17,597,424,154,117,247,157,196,150,93,99,8,14,188,186,111,124,13,24,5,14,2,5,0,0,18,11,2,2,460,446,377,361,20,15,2,4,3,6,5,2,12,20,0,0,12,9,0,0,92,84,248,293
45,Korea Republic,Portugal,2 December 2022, 17:00,Doha,Education City Stadium,Facundo TELLO,44097,34%,55%,2,1,1,2,2,1,0,0,1,1,12,12,6,4,4,6,6,5,6,7,9,23,7,7,5,5,2,8,7,12,470,740,93,159,186,195,191,386,68,109,8,12,139,178,87,123,11,21,6,12,2,0,0,0,9,11,1,5,359,606,304,541,13,22,3,6,9,11,5,4,15,10,0,0,14,12,0,0,54,50,359,233
46,Serbia,Switzerland,2 December 2022, 21:00,Doha,Stadium 974,Fernando Andrés Rapallini,41378,45%,41%,2,3,3,2,2,3,0,0,1,3,11,14,4,7,6,3,10,10,1,4,17,14,6,7,4,3,4,1,10,12,577,456,92,108,214,193,271,155,86,111,7,10,157,157,95,95,10,20,5,8,7,4,0,0,18,13,0,0,476,403,390,325,23,13,6,4,7,9,2,0,14,18,0,0,14,10,0,0,74,82,276,253
47,Cameroon,Brazil,2 December 2022, 21:00,Al Daayen,Lusail Stadium,Ismail Elfath,85986,31%,56%,1,0,0,1,1,0,0,0,1,0,7,19,3,6,3,11,5,14,2,5,8,20,8,5,4,6,4,7,9,13,397,643,88,145,144,328,165,170,73,156,9,9,144,181,92,145,16,15,7,9,5,2,1,0,14,14,0,1,295,548,239,491,12,28,3,8,4,3,3,11,15,14,0,0,20,7,0,0,78,54,321,226
48,Netherlands,United States,3 December 2022, 17:00,Ar-Rayyan,Khalifa International Stadium,Wilton SAMPAIO,44846,33%,54%,3,1,1,3,3,1,0,0,3,1,11,18,6,7,4,4,7,11,4,7,4,13,2,8,4,4,7,9,10,15,404,820,73,179,200,360,131,281,97,135,8,17,161,187,95,126,17,28,7,17,2,0,0,0,10,5,0,3,396,567,320,487,13,27,4,2,4,5,4,5,8,10,0,0,18,13,0,0,101,77,325,256
49,Argentina,Australia,3 December 2022, 21:00,Ar-Rayyan,Ahmad Bin Ali Stadium,Szymon MARCINIAK,45032,53%,35%,2,1,1,2,2,0,0,0,1,0,14,5,5,2,7,2,11,3,3,2,15,8,6,1,11,2,2,6,17,9,869,538,131,105,337,184,401,249,127,60,8,8,181,146,135,92,16,12,8,7,0,2,0,0,8,15,4,0,711,450,635,381,6,15,1,2,5,8,1,3,15,11,0,0,5,14,1,0,67,73,240,453
50,France,Poland,4 December 2022, 17:00,Doha,Al Thumama Stadium,Jesús Valenzuela Sáez,40989,48%,42%,3,1,1,3,3,1,0,0,3,0,16,11,7,3,7,5,10,8,6,3,15,15,7,2,2,2,9,3,19,10,568,501,118,124,207,224,243,153,113,85,14,11,174,156,111,97,26,20,14,12,1,2,0,0,10,8,3,1,540,466,481,391,27,18,4,7,4,5,7,1,8,11,0,1,11,16,0,0,71,64,220,297
51,England,Senegal,4 December 2022, 21:00,Al Khor,Al Bayt Stadium,Ivan Arcides Barton Cisneros,65985,54%,35%,3,0,0,3,3,0,0,0,3,0,8,10,4,2,4,6,7,4,1,6,17,8,6,1,2,0,2,4,13,9,794,489,140,95,276,193,378,201,114,67,11,7,184,159,129,86,16,15,12,7,0,1,0,0,16,12,0,0,597,393,523,320,19,13,7,3,11,7,3,3,12,16,0,0,10,8,0,0,60,74,230,339
52,Japan,Croatia,5 December 2022, 17:00,Al Wakrah,Al Janoub Stadium,Ismail Elfath,42523,35%,51%,1,1,1,1,1,1,0,0,1,1,12,16,4,4,4,8,5,9,7,7,14,18,6,7,6,9,6,6,18,28,692,717,157,175,270,247,265,295,106,116,8,14,229,232,116,132,21,20,8,11,0,2,0,0,13,16,3,0,532,735,414,624,28,35,6,9,5,7,8,5,16,16,0,0,18,11,0,0,100,100,405,308
53,Brazil,Korea Republic,5 December 2022, 21:00,Doha,Stadium 974,Clément Turpin,43847,47%,44%,4,1,1,4,4,0,0,1,3,0,18,10,9,6,8,2,14,6,4,4,20,19,5,4,5,3,7,5,15,21,666,547,149,116,257,270,260,161,112,126,17,15,193,188,145,137,21,20,17,14,0,1,0,0,8,13,0,5,616,548,556,486,18,14,4,1,9,13,5,4,16,8,1,0,10,18,0,0,73,81,310,329
54,Morocco,Spain,6 December 2022, 17:00,Doha,Education City Stadium,Fernando Andrés Rapallini,44667,22%,68%,0,0,0,0,0,0,0,0,0,0,6,13,3,1,3,6,3,9,3,4,11,36,1,10,0,8,2,19,8,29,438,896,103,182,176,279,159,435,74,147,10,27,164,219,86,158,22,37,9,25,1,1,0,0,15,14,5,4,323,1041,229,967,10,27,4,4,4,8,0,8,18,20,0,0,14,6,0,0,100,66,573,217
55,Portugal,Switzerland,6 December 2022, 21:00,Al Daayen,Lusail Stadium,César Arturo Ramos Palazuelos,83720,43%,48%,6,1,1,6,6,1,0,0,5,0,14,10,9,1,2,7,9,5,5,5,8,18,3,2,6,6,6,2,8,8,614,617,134,115,241,240,239,262,86,94,9,8,165,167,98,107,16,17,8,7,0,2,0,0,12,10,3,3,461,512,392,436,14,15,6,1,7,3,6,6,13,15,0,0,10,15,0,0,71,54,357,240
56,Croatia,Brazil,9 December 2022, 17:00,Doha,Education City Stadium,Michael Oliver,43893,45%,45%,1,1,1,1,1,1,0,0,1,1,9,20,1,11,4,4,5,12,4,8,19,25,4,10,2,15,5,8,27,20,674,737,156,153,250,239,268,345,131,111,10,11,240,185,180,121,16,19,10,10,2,3,0,0,22,24,3,3,715,695,632,625,22,25,5,6,13,4,3,7,27,25,0,0,21,9,0,0,95,77,365,423
57,Netherlands,Argentina,9 December 2022, 21:00,Al Daayen,Lusail Stadium,Antonio MATEU,88235,45%,44%,2,2,2,2,2,2,0,0,2,1,5,15,2,6,2,8,3,5,2,10,11,7,7,7,9,13,3,6,15,17,722,644,117,97,278,278,327,269,112,104,5,7,194,203,130,122,15,24,6,8,8,8,1,0,30,18,1,2,651,603,557,511,22,16,4,4,5,4,2,8,20,30,0,1,15,5,0,0,91,79,401,323
58,Morocco,Portugal,10 December 2022, 17:00,Doha,Al Thumama Stadium,Facundo TELLO,44198,22%,65%,1,0,0,1,1,0,0,0,1,0,9,11,3,3,6,6,5,7,4,4,4,27,1,10,4,8,1,7,3,20,339,780,68,205,150,208,121,367,48,104,6,19,128,167,63,118,13,23,3,18,3,1,1,0,15,9,2,2,229,678,171,592,8,33,3,7,4,9,3,9,11,17,0,0,11,10,0,0,88,44,373,165
59,England,France,10 December 2022, 21:00,Al Khor,Al Bayt Stadium,Wilton SAMPAIO,68895,54%,36%,1,2,2,1,1,1,0,1,0,2,14,9,6,5,4,3,6,6,8,3,17,15,6,2,4,7,2,2,10,13,661,401,127,84,312,136,222,181,88,79,8,7,147,136,108,87,13,14,10,8,1,3,0,0,10,14,1,2,508,369,453,310,22,13,5,6,5,2,5,2,14,11,1,0,9,15,0,0,49,54,193,308
60,Argentina,Croatia,13 December 2022, 21:00,Al Daayen,Lusail Stadium,Daniele Orsato,88966,34%,54%,3,0,0,3,3,0,0,0,1,0,10,12,7,3,2,7,7,6,3,6,8,18,9,6,7,7,3,4,2,8,349,643,89,136,122,291,138,216,121,108,7,3,147,182,91,129,17,9,7,1,2,2,0,0,15,8,1,0,408,624,344,551,8,20,2,4,4,8,2,4,6,16,1,0,12,10,0,0,85,63,321,260
61,France,Morocco,14 December 2022, 21:00,Al Khor,Al Bayt Stadium,César Arturo Ramos Palazuelos,68294,34%,55%,2,0,0,2,2,0,0,0,0,0,14,13,2,1,8,6,12,8,2,5,9,10,6,4,3,6,2,6,6,19,330,702,82,136,99,314,149,252,67,74,8,15,126,141,85,95,12,18,8,11,0,1,0,0,11,11,4,3,358,583,307,518,5,22,2,1,1,8,2,3,13,15,0,0,13,14,0,0,72,47,328,218
62,Croatia,Morocco,17 December 2022, 17:00,Ar-Rayyan,Khalifa International Stadium,Abdulrahman AL JASSIM,44137,45%,45%,2,1,1,2,2,1,0,0,2,0,14,7,4,2,8,5,7,5,7,2,20,13,8,1,3,3,2,7,7,16,519,609,117,127,198,202,204,280,106,75,15,10,164,150,114,97,23,14,12,8,0,2,0,0,13,11,2,2,491,494,430,428,21,20,3,5,7,12,6,3,13,15,0,0,7,14,0,0,75,72,288,277
63,Argentina,France,18 December 2022, 17:00,Al Daayen,Lusail Stadium,Szymon MARCINIAK,88966,46%,40%,3,3,3,3,3,3,0,0,1,1,21,10,9,5,9,3,13,7,8,3,13,15,6,7,8,5,9,4,9,12,607,507,136,98,270,217,201,192,163,69,28,9,249,179,172,107,40,14,24,9,4,3,0,0,26,19,4,4,648,516,544,419,20,24,4,3,6,5,6,5,22,28,1,2,11,21,0,0,87,104,280,409
